X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.570450, -0.570400, 0.300000, 2.000000, SAFE, 47894.730966, 25132.169922, 2, 1789
-0.571150, -0.571100, 0.300000, 2.000000, SAFE, 47755.899789, 25078.468750, 2, 1789
-0.570950, -0.570900, 0.300000, 2.000000, SAFE, 47804.685210, 25345.632812, 2, 1789
-0.570500, -0.570450, 0.300000, 2.000000, SAFE, 47996.201154, 25337.791016, 2, 1789
-0.571550, -0.571500, 0.300000, 2.000000, SAFE, 48220.006844, 25366.982422, 2, 1789
-0.570350, -0.570300, 0.300000, 2.000000, SAFE, 47916.132684, 25175.845703, 2, 1789
-0.572500, -0.572450, 0.300000, 2.000000, SAFE, 48803.914860, 25680.906250, 2, 1808
-0.571800, -0.571750, 0.300000, 2.000000, SAFE, 47956.099292, 25402.740234, 2, 1789
-0.571650, -0.571600, 0.300000, 2.000000, SAFE, 47898.611592, 25050.302734, 2, 1789
-0.571700, -0.571650, 0.300000, 2.000000, SAFE, 48468.364515, 25386.923828, 3, 1809
-0.571900, -0.571850, 0.300000, 2.000000, SAFE, 48307.758590, 25426.183594, 3, 1809
-0.570650, -0.570600, 0.300000, 2.000000, SAFE, 47921.760204, 25200.357422, 2, 1789
-0.571250, -0.571200, 0.300000, 2.000000, SAFE, 47890.904052, 25179.910156, 2, 1789
-0.573050, -0.573000, 0.300000, 2.000000, SAFE, 48357.606052, 25389.787109, 2, 1808
-0.571300, -0.571250, 0.300000, 2.000000, SAFE, 47834.042148, 25164.435547, 2, 1789
-0.573200, -0.573150, 0.300000, 2.000000, SAFE, 48484.235773, 25568.847656, 2, 1808
-0.572600, -0.572550, 0.300000, 2.000000, SAFE, 48368.838823, 25078.990234, 1, 1788
-0.571350, -0.571300, 0.300000, 2.000000, SAFE, 47851.337768, 25075.148438, 2, 1789
-0.573150, -0.573100, 0.300000, 2.000000, SAFE, 48578.668870, 25503.009766, 2, 1808
-0.571000, -0.570950, 0.300000, 2.000000, SAFE, 47824.164351, 25213.261719, 2, 1789
-0.573000, -0.572950, 0.300000, 2.000000, SAFE, 48402.928176, 25465.826172, 2, 1808
-0.572900, -0.572850, 0.300000, 2.000000, SAFE, 48340.789281, 25443.951172, 2, 1808
-0.570700, -0.570650, 0.300000, 2.000000, SAFE, 48129.730139, 25364.546875, 2, 1789
-0.572700, -0.572650, 0.300000, 2.000000, SAFE, 48330.972976, 25362.535156, 2, 1808
-0.571200, -0.571150, 0.300000, 2.000000, SAFE, 47863.760244, 25400.306641, 2, 1789
-0.572100, -0.572050, 0.300000, 2.000000, SAFE, 47956.494369, 25188.175781, 2, 1789
-0.572200, -0.572150, 0.300000, 2.000000, SAFE, 47926.559756, 25159.148438, 2, 1789
-0.572000, -0.571950, 0.300000, 2.000000, SAFE, 48073.565578, 25311.507812, 2, 1789
-0.571400, -0.571350, 0.300000, 2.000000, SAFE, 47500.145615, 25089.375000, 2, 1789
-0.571500, -0.571450, 0.300000, 2.000000, SAFE, 48033.133993, 25263.777344, 2, 1789
-0.571050, -0.571000, 0.300000, 2.000000, SAFE, 48111.316410, 25216.152344, 2, 1789
-0.573100, -0.573050, 0.300000, 2.000000, SAFE, 48585.425544, 25461.695312, 2, 1808
-0.572950, -0.572900, 0.300000, 2.000000, SAFE, 48569.236408, 25725.531250, 2, 1808
